id,inicio,fim,esporte,genero,fase,local1,local2,cidade
BK002,2016-08-06T14:15-03:00,2016-08-06T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK004,2016-08-06T19:00-03:00,2016-08-06T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK005,2016-08-06T22:30-03:00,2016-08-06T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK007,2016-08-07T14:15-03:00,2016-08-07T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK009,2016-08-07T19:00-03:00,2016-08-07T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK010,2016-08-07T22:30-03:00,2016-08-07T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK012,2016-08-08T14:15-03:00,2016-08-08T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK014,2016-08-08T19:00-03:00,2016-08-08T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK015,2016-08-08T22:30-03:00,2016-08-08T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK017,2016-08-09T14:15-03:00,2016-08-09T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK019,2016-08-09T19:00-03:00,2016-08-09T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK020,2016-08-09T22:30-03:00,2016-08-09T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK022,2016-08-10T14:15-03:00,2016-08-10T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK024,2016-08-10T19:00-03:00,2016-08-10T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK025,2016-08-10T22:30-03:00,2016-08-10T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK027,2016-08-11T14:15-03:00,2016-08-11T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK029,2016-08-11T19:00-03:00,2016-08-11T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK030,2016-08-11T22:30-03:00,2016-08-11T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK032,2016-08-12T14:15-03:00,2016-08-12T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK033,2016-08-12T19:00-03:00,2016-08-12T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK035,2016-08-12T22:30-03:00,2016-08-12T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK037,2016-08-13T14:15-03:00,2016-08-13T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK038,2016-08-13T19:00-03:00,2016-08-13T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK040,2016-08-13T22:30-03:00,2016-08-13T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK042,2016-08-14T14:15-03:00,2016-08-14T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK043,2016-08-14T19:00-03:00,2016-08-14T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK045,2016-08-14T22:30-03:00,2016-08-14T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK046,2016-08-15T14:15-03:00,2016-08-15T16:00-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK047,2016-08-15T19:00-03:00,2016-08-15T20:45-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK048,2016-08-15T22:30-03:00,2016-08-15T00:15-03:00,Basquetebol,Masculino,Primeira fase,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK049,2016-08-16T11:00-03:00,2016-08-16T12:45-03:00,Basquetebol,Feminino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK050,2016-08-16T14:30-03:00,2016-08-16T16:15-03:00,Basquetebol,Feminino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK051,2016-08-16T18:45-03:00,2016-08-16T20:30-03:00,Basquetebol,Feminino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK052,2016-08-16T22:15-03:00,2016-08-16T00:00-03:00,Basquetebol,Feminino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK053,2016-08-17T11:00-03:00,2016-08-17T12:45-03:00,Basquetebol,Masculino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK054,2016-08-17T14:30-03:00,2016-08-17T16:15-03:00,Basquetebol,Masculino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK055,2016-08-17T18:45-03:00,2016-08-17T20:30-03:00,Basquetebol,Masculino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK056,2016-08-17T22:15-03:00,2016-08-17T00:00-03:00,Basquetebol,Masculino,Quarta de final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK057,2016-08-18T15:00-03:00,2016-08-18T17:00-03:00,Basquetebol,Feminino,Semifinal,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK058,2016-08-18T19:00-03:00,2016-08-18T21:00-03:00,Basquetebol,Feminino,Semifinal,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK059,2016-08-19T15:30-03:00,2016-08-19T17:30-03:00,Basquetebol,Masculino,Semifinal,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK060,2016-08-19T19:00-03:00,2016-08-19T21:00-03:00,Basquetebol,Masculino,Semifinal,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK061,2016-08-20T11:30-03:00,2016-08-20T13:30-03:00,Basquetebol,Feminino,Bronze,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK062,2016-08-20T15:30-03:00,2016-08-20T17:50-03:00,Basquetebol,Feminino,Final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK063,2016-08-21T11:30-03:00,2016-08-21T13:30-03:00,Basquetebol,Masculino,Bronze,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
BK064,2016-08-21T15:45-03:00,2016-08-21T18:05-03:00,Basquetebol,Masculino,Final,Arena Carioca 1,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU001,2016-08-06T10:00-03:00,2016-08-06T13:00-03:00,Judô,Masculino até 60kg e Feminino até 48kg,,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU002,2016-08-06T15:30-03:00,2016-08-06T18:10-03:00,Judô,Masculino até 60kg e Feminino até 48kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU003,2016-08-07T10:00-03:00,2016-08-07T13:00-03:00,Judô,Masculino até 66kg e Feminino até 52kg,,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU004,2016-08-07T15:30-03:00,2016-08-07T18:10-03:00,Judô,Masculino até 66kg e Feminino até 52kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU006,2016-08-08T15:30-03:00,2016-08-08T18:10-03:00,Judô,Masculino até 73kg e Feminino até 57kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU008,2016-08-09T15:30-03:00,2016-08-09T18:10-03:00,Judô,Masculino até 81kg e Feminino até 63kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU010,2016-08-10T15:30-03:00,2016-08-10T18:10-03:00,Judô,Masculino até 90kg e Feminino até 70kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU012,2016-08-11T15:30-03:00,2016-08-11T18:10-03:00,Judô,Masculino até 100kg e Feminino até 78kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
JU014,2016-08-12T15:30-03:00,2016-08-12T18:10-03:00,Judô,Masculino acima de 100kg e Feminino acima de 78kg,Finais,Arena Carioca 2,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE009,2016-08-10T08:30-03:00,2016-08-10T16:00-03:00,Esgrima,Masculino e Feminino,Sabre individual e Florete individual,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE010,2016-08-10T17:30-03:00,2016-08-10T21:35-03:00,Esgrima,Masculino e Feminino,Sabre individual e Florete individual,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE012,2016-08-11T17:00-03:00,2016-08-11T19:50-03:00,Esgrima,Espada por Equipes feminina,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE014,2016-08-12T17:00-03:00,2016-08-12T19:50-03:00,Esgrima,Florete por Equipes masculino,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE016,2016-08-13T17:00-03:00,2016-08-13T19:35-03:00,Esgrima,Sabre por Equipes feminino,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
FE018,2016-08-14T17:00-03:00,2016-08-14T19:50-03:00,Esgrima,Espada por Equipes masculina,Bronze e Final,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
TK001,2016-08-17T09:00-03:00,2016-08-17T13:00-03:00,Taekwondo,Masculino até 58kg e Feminino até 49kg,Preliminares,Arena Carioca 3,Av. Embaixador Abelardo Bueno 3.401 - Barra da Tijuca, Rio de Janeiro
